accession	gene	Intensity 31579	Intensity 31581	Intensity 31578	Intensity 31580
Q7TQI3	Otub1	1774000000.0	1080500000.0	3215700000.0	2131900000.0
O55234	Psmb5	7603400000.0	8238300000.0	7546100000.0	6585900000.0
P30115	Gsta3	1880500000.0	2669800000.0	15560000000.0	14357000000.0
P15532	Nme1	9001000000.0	26515000000.0	24047000000.0	23456000000.0
Q9QZE7	Tsnax	894730000.0	711990000.0	1854700000.0	1022200000.0
Q9CXY6	Ilf2	1347300000.0	1770900000.0	1707700000.0	1429100000.0
Q9R0P9	Uchl1	9379300000.0	11902000000.0	17899000000.0	10750000000.0
Q61035	Hars	2421700000.0	1676200000.0	2107800000.0	3329100000.0
O35381	Anp32a	700020000.0	2028600000.0	3909700000.0	3945900000.0
O55137	Acot1	2083700000.0	1845600000.0	2576000000.0	1874300000.0
Q91W90	Txndc5	4188400000.0	4272200000.0	5921200000.0	4346400000.0
Q9DAR7	Dcps	1590400000.0	1577700000.0	2012200000.0	1568300000.0
P70296	Pebp1	18384000000.0	27495000000.0	30798000000.0	15568000000.0
Q8K183	Pdxk	2131400000.0	1811600000.0	2590000000.0	2260800000.0
O35855	Bcat2	1640700000.0	986850000.0	2566300000.0	1637800000.0
P10648	Gsta2	5802600000.0	5053100000.0	6216000000.0	3456500000.0
P62897	Cycs	8870400000.0	8964900000.0	11410000000.0	4514900000.0
P47880	Igfbp6	3361200000.0	1737300000.0	3269600000.0	3113100000.0
P47878	Igfbp3	4375700000.0	2271900000.0	4892500000.0	1979400000.0
Q9CYK2	Qpct	15582000000.0	5536700000.0	15496000000.0	9705400000.0
P28653	Bgn	16575000000.0	45560000000.0	19871000000.0	54053000000.0
Q61508	Ecm1	2286300000.0	16508000000.0	1978200000.0	21273000000.0
P11152	Lpl	2647500000.0	1548100000.0	3025500000.0	2126700000.0
P06909	Cfh	222860000.0	4309700000.0	230840000.0	2728100000.0
P70275	Sema3e	546930000.0	1322000000.0	1074700000.0	1250200000.0
O70250	Pgam2	378610000.0	174160000.0	553040000.0	157300000.0
Q9JKF1	Iqgap1	189600000.0	476060000.0	411620000.0	2045400000.0
Q5SWU9	Acaca	1465400.0	132290000.0	201500000.0	105260000.0
P22892	Ap1g1	550210000.0	43520000.0	457790000.0	222750000.0
Q9WTX5	Skp1	609560000.0	409850000.0	846530000.0	443420000.0
P80314	Cct2	1803700000.0	1006200000.0	1853700000.0	564630000.0
P16675	Ctsa	2618500000.0	2166800000.0	2754000000.0	2252200000.0
P80316	Cct5	1902400000.0	889830000.0	910460000.0	816000000.0
P51174	Acadl	812990000.0	614380000.0	1260800000.0	441630000.0
Q9Z1F9	Uba2	736000000.0	128400000.0	1133200000.0	107900000.0
Q01405	Sec23a	402030000.0	386650000.0	753890000.0	480620000.0
Q91YE6	Ipo9	496890000.0	232890000.0	393350000.0	496020000.0
O88544	Cops4	1234300000.0	972780000.0	2001200000.0	1490200000.0
Q91ZJ5	Ugp2	1660900000.0	959080000.0	1770100000.0	1565400000.0
Q99MN1	Kars	1213700000.0	1171200000.0	1854300000.0	1577000000.0
Q9CWH6	Psma8	712630000.0	438910000.0	764440000.0	140430000.0
Q01730	Rsu1	1369500000.0	1306900000.0	1940200000.0	1388400000.0
Q9CZY3	Ube2v1	994310000.0	1713600000.0	2327500000.0	2094400000.0
O08553	Dpysl2	2257600000.0	2948000000.0	1625700000.0	3048600000.0
Q9CY58	Serbp1	45834000.0	97473000.0	120320000.0	105310000.0
Q99PT1	Arhgdia	4594600000.0	9349200000.0	6119900000.0	5041100000.0
O35643	Ap1b1	112110000.0	242640000.0	264070000.0	197500000.0
O08795	Prkcsh	1157100000.0	1951900000.0	2891800000.0	2154200000.0
Q9D8N0	Eef1g	3894500000.0	8593800000.0	4741900000.0	6239200000.0
P28352	Apex1	1192300000.0	752870000.0	1499500000.0	1126100000.0
O88958	Gnpda1	2010700000.0	1452100000.0	2749700000.0	1434700000.0
Q9D154	Serpinb1a	3066100000.0	3165100000.0	2144000000.0	2938900000.0
Q9R1P1	Psmb3	4210300000.0	4466800000.0	4218300000.0	2929400000.0
Q9Z0S1	Bpnt1	1404500000.0	978230000.0	1796300000.0	1729300000.0
Q99JW2	Acy1	308650000.0	400710000.0	847270000.0	589080000.0
Q9CY64	Blvra	773760000.0	497180000.0	1324200000.0	1071700000.0
Q9CZU6	Cs	6013000000.0	3138800000.0	8968400000.0	6062000000.0
O35459	Ech1	364630000.0	303960000.0	3123100000.0	2253300000.0
Q01768	Nme2	3881300000.0	7502300000.0	6401500000.0	4584400000.0
O55023	Impa1	4669600000.0	5083200000.0	3673500000.0	3935200000.0
P51660	Hsd17b4	830770000.0	112110000.0	1625800000.0	339760000.0
Q9D0K2	Oxct1	2517100000.0	910600000.0	2419600000.0	1591400000.0
O08807	Prdx4	6491500000.0	4787600000.0	7240700000.0	4837600000.0
P48759	Ptx3	5435100000.0	3233100000.0	7786600000.0	5583700000.0
Q80UB0		15127000000.0	9121400000.0	19802000000.0	7023600000.0
Q62165	Dag1	3698000000.0	4424500000.0	3484000000.0	5812500000.0
P10923	Spp1	3770000000.0	40999000000.0	13482000000.0	42377000000.0
P07141	Csf1	4231300000.0	7352200000.0	4311800000.0	9815600000.0
P97497	Shbg	6010000000.0	2845400000.0	4108600000.0	2130800000.0
P11672	Lcn2	19708000000.0	226790000000.0	20264000000.0	258300000000.0
P98063	Bmp1	108120000.0	1435800000.0	216950000.0	1265200000.0
Q07797	Lgals3bp	1923000000.0	2001400000.0	2372700000.0	3375900000.0
Q8BFR4	Gns	1298300000.0	1087800000.0	1895300000.0	1869200000.0
P18406	Cyr61	12374000000.0	22548000000.0	12959000000.0	14658000000.0
P21956	Mfge8	2141400000.0	3140200000.0	2181200000.0	2705300000.0
Q8BKG3	Ptk7	369100000.0	2505200000.0	660840000.0	1966900000.0
Q60972	Rbbp4	3838500000.0	2545300000.0	4331800000.0	3462000000.0
P62334	Psmc6	727420000.0	316180000.0	885430000.0	303650000.0
Q8CDN6	Txnl1	1509700000.0	1429900000.0	2429400000.0	2631000000.0
Q9Z1Z2	Strap	252150000.0	533940000.0	727740000.0	528990000.0
P80317	Cct6a	1879700000.0	1649200000.0	1090300000.0	769970000.0
P17918	Pcna	2489700000.0	2208600000.0	3057500000.0	2104800000.0
Q9CXW3	Cacybp	501260000.0	1071900000.0	983960000.0	781880000.0
Q9QZE5	Copg1	650900000.0	281050000.0	639860000.0	499030000.0
Q9D1E6	Tbcb	282790000.0	280900000.0	401760000.0	223510000.0
Q920E5	Fdps	1975200000.0	4117800000.0	3317700000.0	3582900000.0
P05063	Aldoc	117440000.0	202030000.0	244050000.0	435010000.0
Q91XV3	Basp1	765000000.0	442980000.0	1637000000.0	369180000.0
Q9WTM5	Ruvbl2	717760000.0	325690000.0	737440000.0	173960000.0
Q9CWS0	Ddah1	486180000.0	847520000.0	1199400000.0	1116700000.0
Q05186	Rcn1	458970000.0	1536300000.0	1699400000.0	1334500000.0
Q9CYR6	Pgm3	647890000.0	919530000.0	985300000.0	671130000.0
Q9CQI3	Gmfb	110130000.0	1808600000.0	2143900000.0	763010000.0
Q9DBG3	Ap2b1	565140000.0	889230000.0	754820000.0	797130000.0
Q9Z0N1	Eif2s3x	740120000.0	637070000.0	1479400000.0	1424700000.0
Q8BGR9	Ublcp1	646840000.0	454900000.0	1228100000.0	650330000.0
Q9CXI5	Manf	1327500000.0	2400900000.0	2632700000.0	1196000000.0
Q9D051	Pdhb	1060600000.0	428250000.0	3853400000.0	875380000.0
F6ZDS4	Tpr	51428000.0	63830000.0	112410000.0	82854000.0
P05132;P68181	Prkaca;Prkacb	109010000.0	433210000.0	776320000.0	535730000.0
Q9D819	Ppa1	1140200000.0	571440000.0	1314300000.0	1410800000.0
O09061	Psmb1	6459800000.0	5380900000.0	7313200000.0	5489800000.0
Q61171	Prdx2	14480000000.0	18848000000.0	20084000000.0	14220000000.0
P59242	Cgn	298910000.0	221450000.0	262480000.0	108490000.0
Q9DBF1	Aldh7a1	3137500000.0	2150100000.0	3259800000.0	3183000000.0
P30681	Hmgb2	102940000.0	370380000.0	714550000.0	988880000.0
P63158	Hmgb1	146350000.0	712320000.0	795440000.0	3260800000.0
P97372	Psme2	904310000.0	2066000000.0	1365700000.0	1727900000.0
Q62446	Fkbp3	274830000.0	423470000.0	733280000.0	1357400000.0
P97371	Psme1	1812600000.0	2785400000.0	2036400000.0	1925500000.0
Q9CQ60	Pgls	1537300000.0	2865300000.0	2350900000.0	2248800000.0
Q91W89	Man2c1	177030000.0	20400000.0	313850000.0	129680000.0
Q9EQU5	Set	80791000.0	5509400000.0	3779700000.0	5810300000.0
Q8BP92	Rcn2	875300000.0	2465900000.0	2342500000.0	2246100000.0
A6H630	Armt1	1355200000.0	254170000.0	1488700000.0	529120000.0
P24472	Gsta4	30555000000.0	49116000000.0	27434000000.0	32073000000.0
P25785	Timp2	6342700000.0	9880200000.0	9387000000.0	6730900000.0
P01901	H2-K1	1316500000.0	1931500000.0	2272500000.0	2560100000.0
O88531	Ppt1	4347200000.0	3720600000.0	6220200000.0	4205200000.0
Q9WVJ3	Cpq	2711900000.0	2459100000.0	3375100000.0	2986600000.0
P12804	Fgl2	563990000.0	164700000.0	491820000.0	431210000.0
Q8VC30	Dak	977450000.0	98833000.0	1246500000.0	185640000.0
Q9QZF2	Gpc1	1103200000.0	751830000.0	1419900000.0	634140000.0
Q78PY7	Snd1	96146000.0	222200000.0	260350000.0	126650000.0
Q9QWR8	Naga	616410000.0	309010000.0	1316600000.0	1157400000.0
O09172	Gclm	1204300000.0	1551800000.0	1140800000.0	1385700000.0
Q61001	Lama5	20209000.0	55348000.0	46346000.0	39608000.0
Q99L47	St13	224010000.0	784060000.0	3002500000.0	1662000000.0
Q05816	Fabp5	213960000.0	523360000.0	568130000.0	428920000.0
P80313	Cct7	2187200000.0	1900500000.0	1250800000.0	1388300000.0
Q9CYA0	Creld2	1048800000.0	456820000.0	1280400000.0	536070000.0
P46471	Psmc2	311460000.0	324670000.0	649410000.0	932930000.0
Q9JMA1	Usp14	916250000.0	863130000.0	1446800000.0	598760000.0
Q9CQM9	Glrx3	224420000.0	2208800000.0	1387500000.0	1467500000.0
P14685	Psmd3	1331900000.0	396230000.0	1190600000.0	517880000.0
Q64669	Nqo1	687060000.0	1102000000.0	710080000.0	1095900000.0
A6H5Y3	Mtr	173240000.0	20882000.0	156300000.0	52788000.0
Q99KQ4	Nampt	1334500000.0	872980000.0	1080700000.0	1322600000.0
Q9CPW4	Arpc5	273600000.0	1327900000.0	1601300000.0	1366400000.0
Q9EST5	Anp32b	86092000.0	1636100000.0	2659900000.0	4034600000.0
P26516	Psmd7	607790000.0	753490000.0	1060400000.0	944070000.0
P55302	Lrpap1	687650000.0	754590000.0	731840000.0	319570000.0
Q9CZ30	Ola1	370210000.0	214080000.0	765330000.0	453890000.0
P00493	Hprt1	3967900000.0	6564700000.0	3736600000.0	3677700000.0
Q8C878	Uba3	470980000.0	199450000.0	808020000.0	503330000.0
O54724	Ptrf	80565000.0	185530000.0	589100000.0	580360000.0
Q9D8Y0	Efhd2	1700700000.0	2799600000.0	2306000000.0	1647700000.0
P48428	Tbca	979710000.0	943260000.0	1439500000.0	832660000.0
P61161	Actr2	2012900000.0	3070100000.0	2219500000.0	2473700000.0
P28474	Adh5	1280500000.0	711910000.0	1503700000.0	1608400000.0
Q8BGF3	Wdr92	130710000.0	149600000.0	734710000.0	201280000.0
Q8R146	Apeh	521820000.0	358090000.0	1329100000.0	702860000.0
P61089	Ube2n	665680000.0	1880400000.0	3000400000.0	1396000000.0
O35864	Cops5	844540000.0	394990000.0	1297800000.0	956290000.0
O89079	Cope	509880000.0	568050000.0	932110000.0	1032100000.0
Q8C0M9	Asrgl1	755990000.0	248470000.0	1203000000.0	303180000.0
Q64442	Sord	241270000.0	290920000.0	1093500000.0	514770000.0
P27612	Plaa	338710000.0	1261900000.0	356080000.0	225920000.0
O70251	Eef1b	1294200000.0	3049900000.0	1692700000.0	2049900000.0
Q8R3Q6	Ccdc58	36619000.0	179150000.0	392900000.0	216440000.0
Q9CZC8	Scrn1	424100000.0	740230000.0	976010000.0	502830000.0
P49722	Psma2	4687200000.0	5978400000.0	5610800000.0	5076900000.0
Q8CHP8	Pgp	2597400000.0	1468000000.0	3680500000.0	2005500000.0
Q99JF8	Psip1	129240000.0	171150000.0	360130000.0	264570000.0
P51859	Hdgf	806560000.0	1127000000.0	2175300000.0	1906600000.0
Q8BVI4	Qdpr	2320100000.0	2659100000.0	2490300000.0	2222600000.0
Q61937	Npm1	267090000.0	2539100000.0	1034600000.0	3191800000.0
Q60597	Ogdh	212760000.0	47101000.0	261950000.0	20444000.0
Q61584	Fxr1	20292000.0	61702000.0	59845000.0	2574800.0
Q8BIJ6	Iars2	62742000.0	109710000.0	187130000.0	44750000.0
Q9QXD6	Fbp1	1104500000.0	88130000.0	1106500000.0	23379000.0
Q60963	Pla2g7	1943500000.0	1406900000.0	2201100000.0	1362800000.0
P28654	Dcn	4044700000.0	10661000000.0	4637000000.0	13484000000.0
Q9WTM3	Sema6c	625990000.0	172220000.0	1449700000.0	528790000.0
Q06335	Aplp2	1564100000.0	1953300000.0	1484800000.0	724280000.0
O35684	Serpini1	1437200000.0	424940000.0	1617800000.0	1419500000.0
Q61554	Fbn1	94804000.0	396770000.0	93057000.0	760270000.0
Q9CZT5	Vasn	1594800000.0	1321600000.0	2318500000.0	1465200000.0
Q811B1	Xylt1	336920000.0	36983000.0	482790000.0	66285000.0
Q99M71	Epdr1	1669000000.0	1006800000.0	1795000000.0	1205000000.0
Q62181	Sema3c	305160000.0	464110000.0	330040000.0	549560000.0
P62983;P62984;P0CG49;P0CG50	Rps27a;Uba52;Ubb;Ubc	13568000000.0	12609000000.0	11116000000.0	9497700000.0
Q64191	Aga	1059300000.0	1629500000.0	2106300000.0	1215800000.0
Q99K51	Pls3	452230000.0	1591100000.0	899090000.0	1748700000.0
Q60631	Grb2	587440000.0	1118400000.0	1324200000.0	955530000.0
P63330	Ppp2ca	1108200000.0	906720000.0	262120000.0	275220000.0
Q06138	Cab39	1145000000.0	201240000.0	1851800000.0	1152100000.0
P14602	Hspb1	213900000.0	315150000.0	381760000.0	251620000.0
P63087	Ppp1cc	813270000.0	599340000.0	586030000.0	276370000.0
Q9D1P4	Chordc1	224830000.0	265710000.0	600090000.0	274340000.0
P53994	Rab2a	477470000.0	554730000.0	570790000.0	354770000.0
P62141	Ppp1cb	317830000.0	291910000.0	1403300000.0	1344000000.0
Q8BWY3	Etf1	245880000.0	918030000.0	1492800000.0	739930000.0
P61087	Ube2k	615710000.0	820410000.0	1167000000.0	647400000.0
P53996	Cnbp	1120000000.0	908620000.0	1144500000.0	1410400000.0
P60335	Pcbp1	1530500000.0	1011000000.0	2221100000.0	1345900000.0
Q8CAY6	Acat2	446370000.0	958170000.0	1660900000.0	1683700000.0
O08677	Kng1	97136000.0	215410000.0	194140000.0	224210000.0
Q9CZD3	Gars	743990000.0	27093000.0	651020000.0	301090000.0
Q00612	G6pdx	444320000.0	3519300000.0	531030000.0	551520000.0
P97351	Rps3a	67637000.0	343580000.0	314340000.0	202200000.0
Q11136	Pepd	2495400000.0	741330000.0	2032900000.0	2611500000.0
Q9QZD9	Eif3i	683050000.0	386920000.0	721220000.0	508230000.0
O35737;P70333	Hnrnph1;Hnrnph2	115290000.0	232510000.0	250730000.0	274210000.0
Q91WQ3	Yars	504820000.0	1043300000.0	908020000.0	971680000.0
P97315	Csrp1	719390000.0	558490000.0	1312400000.0	1175300000.0
Q8VDW0	Ddx39a	145840000.0	52770000.0	278500000.0	53719000.0
P50516	Atp6v1a	1140200000.0	1214000000.0	1020800000.0	1124200000.0
Q60715	P4ha1	116010000.0	221100000.0	662220000.0	801980000.0
P62821	Rab1A	1096000000.0	981270000.0	1183800000.0	843140000.0
Q9Z2N8	Actl6a	335550000.0	140480000.0	567510000.0	191460000.0
P23591	Tsta3	604210000.0	397720000.0	1201400000.0	399100000.0
P47753	Capza1	1782300000.0	1891100000.0	2729900000.0	2089700000.0
Q62188	Dpysl3	724400000.0	912910000.0	320380000.0	798910000.0
Q6P1B1	Xpnpep1	1043800000.0	2312400000.0	1569600000.0	1376100000.0
P99029	Prdx5	309030000.0	2727900000.0	2620400000.0	2406800000.0
Q9DC23	Dnajc10	457990000.0	48096000.0	562600000.0	232210000.0
Q60598	Cttn	82845000.0	158790000.0	283430000.0	259020000.0
P16045	Lgals1	11467000000.0	9495600000.0	10421000000.0	5735200000.0
Q9D2M8	Ube2v2	50573000.0	234590000.0	207720000.0	163980000.0
Q8R164	Bphl	400770000.0	240160000.0	431700000.0	414220000.0
P61327;Q9CQL1	Magoh;Magohb	319400000.0	1591100000.0	2120900000.0	791010000.0
Q9JJU8	Sh3bgrl	2010000000.0	3070300000.0	1641800000.0	1072900000.0
P47968	Rpia	605720000.0	512780000.0	571550000.0	926790000.0
Q9JK81	Myg1	373410000.0	664600000.0	905700000.0	628320000.0
Q9D7X8	Ggct	340590000.0	143060000.0	532610000.0	141840000.0
P70195	Psmb7	13850000000.0	2185100000.0	3900100000.0	3212700000.0
P00375	Dhfr	395690000.0	613490000.0	535660000.0	623980000.0
Q9DAK9	Phpt1	414480000.0	470340000.0	821390000.0	303960000.0
Q3TCN2	Plbd2	1191100000.0	1228800000.0	1346600000.0	1231300000.0
Q8BH97	Rcn3	1502000000.0	3352200000.0	2467000000.0	2131600000.0
A3KMP2	Ttc38	1011500000.0	86273000.0	496980000.0	1198100000.0
Q9WTP6	Ak2	1888800000.0	1485100000.0	2126800000.0	1579200000.0
P35505	Fah	392430000.0	466420000.0	759290000.0	458540000.0
Q9Z2U1	Psma5	6109400000.0	8148700000.0	7011800000.0	5635800000.0
O35143	Atpif1	421970000.0	340770000.0	571930000.0	409390000.0
P49312	Hnrnpa1	2159800000.0	4391100000.0	3055200000.0	4891200000.0
Q8K4Z3	Apoa1bp	989940000.0	1855700000.0	2686100000.0	1894300000.0
Q60668	Hnrnpd	1328100000.0	2521000000.0	1977300000.0	2591300000.0
Q99LP6	Grpel1	1771700000.0	927780000.0	1780200000.0	1016900000.0
P35979	Rpl12	3900500000.0	6160400000.0	4388600000.0	5456800000.0
P00015	Cyct	1004200000.0	235920000.0	329600000.0	143730000.0
P20108	Prdx3	7016900000.0	6846800000.0	7267000000.0	5647300000.0
P97311	Mcm6	31147000.0		182730000.0	
O89017	Lgmn	18583000000.0	10313000000.0	22891000000.0	10688000000.0
P11859	Agt	2943700000.0	3183100000.0	3501900000.0	5644500000.0
Q9WUU7	Ctsz	4308500000.0	2662600000.0	3387900000.0	3613900000.0
O88668	Creg1	363470000.0	510070000.0	488960000.0	611080000.0
Q9Z0L8	Ggh	2276000000.0	1670200000.0	1706400000.0	1783800000.0
Q02853	Mmp11	409310000.0	321900000.0	635430000.0	338450000.0
O88393	Tgfbr3	647940000.0	1157200000.0	564810000.0	858430000.0
A2A8L5	Ptprf	131120000.0	486370000.0	235360000.0	576800000.0
B9EKR1	Ptprz1	303090000.0	20366000.0	542550000.0	140240000.0
Q9Z2L6	Minpp1	2067600000.0	1508600000.0	1638200000.0	1343100000.0
P30412	Ppic	2677300000.0	20434000000.0	3110200000.0	9746800000.0
Q9Z0J0	Npc2	5868400000.0	8765600000.0	6055600000.0	5161400000.0
Q9JHQ5	Lztfl1	624160000.0	189080000.0	523210000.0	37113000.0
P32507	Pvrl2	616880000.0	599790000.0	880800000.0	840740000.0
B2RXS4	Plxnb2	8910000000.0	595440000.0	453690000.0	481880000.0
Q60648	Gm2a	7737700000.0	8381600000.0	7582100000.0	3449100000.0
P29391;P49945	Ftl1;Ftl2	699700000.0	1061400000.0	910840000.0	2747900000.0
P60521	Gabarapl2	349460000.0	349890000.0	342970000.0	232120000.0
Q60872	Eif1a		11512000.0	28489000.0	12549000.0
Q60973	Rbbp7	266030000.0	407880000.0	533460000.0	781980000.0
P09528	Fth1	1382100000.0	1871200000.0	1775000000.0	1448000000.0
P70122	Sbds	304780000.0	418480000.0	272910000.0	699300000.0
Q61699	Hsph1	66319000.0	260550000.0	106140000.0	45046000.0
P53811	Pitpnb	116510000.0	234520000.0	219560000.0	339780000.0
Q9EPL8	Ipo7	224440000.0	703100000.0	534210000.0	674690000.0
P63085	Mapk1	259150000.0	867620000.0	623700000.0	821400000.0
Q9D0R2	Tars	418750000.0	76129000.0	966990000.0	978750000.0
P62137	Ppp1ca	465960000.0	176390000.0	160190000.0	89253000.0
Q61576	Fkbp10	979840000.0	965080000.0	1200800000.0	1565700000.0
Q8BMJ3	Eif1ax	66174000.0	370300000.0	513870000.0	538490000.0
P62869	Tceb2	86060000.0	311960000.0	619890000.0	363640000.0
P46638;P62492	Rab11b;Rab11a	1710300000.0	1617200000.0	2497900000.0	1316700000.0
Q60739	Bag1	231880000.0	110170000.0	164830000.0	84729000.0
O08810	Eftud2	52955000.0	91594000.0	167330000.0	101830000.0
Q9CWJ9	Atic	437670000.0	850430000.0	809340000.0	542270000.0
Q9R0P3	Esd	1307000000.0	2468800000.0	1997500000.0	3116500000.0
Q9QZ08	Nagk	158060000.0	102840000.0	380190000.0	126900000.0
Q9D0I8	Mrto4	51427000.0	13246000.0	175860000.0	57177000.0
P97494	Gclc	233380000.0	711360000.0	816830000.0	360840000.0
Q99KR3	Lactb2	397260000.0	401700000.0	674860000.0	352520000.0
P47754	Capza2	946000000.0	490470000.0	796350000.0	1203100000.0
Q9CR00	Psmd9	140260000.0	208400000.0	515320000.0	315490000.0
Q61166	Mapre1	750990000.0	731330000.0	881080000.0	851940000.0
Q9D1A2	Cndp2	1442300000.0	1850600000.0	1031400000.0	2784900000.0
Q9JM76	Arpc3	1779600000.0	3180800000.0	2200000000.0	1952000000.0
Q5FWK3	Arhgap1	580080000.0	418950000.0	991390000.0	1296300000.0
Q64010	Crk	523750000.0	632740000.0	650070000.0	731200000.0
Q99KB8	Hagh	1488900000.0	1181200000.0	1925500000.0	810660000.0
P16858	Gapdh	877800000.0	721380000.0	636650000.0	1190600000.0
P23116	Eif3a	56117000.0	36840000.0	230090000.0	172800000.0
Q64674	Srm	787490000.0	1002800000.0	991200000.0	1336600000.0
Q9Z247	Fkbp9	861470000.0	974930000.0	1503800000.0	1108200000.0
P61965	Wdr5	174670000.0	114450000.0	654370000.0	363140000.0
P14131	Rps16	63244000.0	685110000.0	480530000.0	519730000.0
P10639	Txn	2960100000.0	1687000000.0	1427100000.0	3151200000.0
P54822	Adsl	1055400000.0	891380000.0	938800000.0	481580000.0
O08585	Clta	410950000.0	450140000.0	1110300000.0	291000000.0
Q9R0Q7	Ptges3	246230000.0	1027400000.0	1459100000.0	1326700000.0
P47811	Mapk14	183650000.0	464890000.0	456770000.0	460460000.0
P70372	Elavl1	696600000.0	737530000.0	680920000.0	527470000.0
Q8C0E2	Vps26b	184170000.0	164630000.0	495950000.0	233790000.0
Q9CZ04	Cops7a	495520000.0	755300000.0	433180000.0	512320000.0
Q9DBR7	Ppp1r12a	142920000.0	141060000.0	183370000.0	94587000.0
P63028	Tpt1	8001500000.0	11663000000.0	7527200000.0	8515100000.0
P28063	Psmb8	712970000.0	952000000.0	930880000.0	665090000.0
P14206	Rpsa	1084000000.0	2340500000.0	2757800000.0	2196900000.0
P83917	Cbx1	534790000.0	573030000.0	699650000.0	652750000.0
Q8VDK1	Nit1	309490000.0	154260000.0	384280000.0	102270000.0
P31786	Dbi	2379800000.0	2448800000.0	2963900000.0	1567000000.0
Q9D892	Itpa	1304800000.0	1203900000.0	2640100000.0	1641600000.0
Q9ERE7	Mesdc2	1160800000.0	943610000.0	1874900000.0	918400000.0
O35215	Ddt	2856800000.0	3950000000.0	5198300000.0	1484400000.0
P62965	Crabp1	458570000.0	238990000.0	437450000.0	134340000.0
P45878	Fkbp2	485410000.0	644750000.0	871080000.0	312840000.0
O08716	Fabp9	1175300000.0	776760000.0	2978300000.0	828710000.0
Q6ZWY9;Q64525;Q64478;P10854	Hist1h2bc;Hist2h2bb;Hist1h2bh;Hist1h2bm	5741300.0	2372100.0	3849700000.0	4248000000.0
P62317	Snrpd2	352160000.0	741380000.0	941390000.0	781430000.0
P09671	Sod2	6914400000.0	5945200000.0	11947000000.0	5931400000.0
P32261	Serpinc1	158660000.0		117570000.0	158320000.0
P70696	Hist1h2ba	1246200000.0	5661300000.0	14820000.0	36597000.0
Q9Z2C8	Ybx2	583090000.0	329240000.0	215740000.0	85223000.0
P12032	Timp1	14064000000.0	31832000000.0	25370000000.0	49605000000.0
Q9EQC7	Fstl3	1418000000.0	492170000.0	1402900000.0	887790000.0
Q571E4	Galns	696420000.0	1446000000.0	855580000.0	1049700000.0
Q9CYN9	Atp6ap2	1078600000.0	1029500000.0	982730000.0	1543600000.0
P58022	Loxl2	905250000.0	1477100000.0	587370000.0	1541600000.0
O35598	Adam10	204330000.0	234740000.0	371730000.0	259720000.0
Q61245	Col11a1		113120000.0		502580000.0
Q04999	Inhbb	383650000.0	239610000.0	522030000.0	126060000.0
Q08879	Fbln1	116570000.0	132610000.0	538480000.0	265330000.0
Q9Z1Q5	Clic1	811550000.0	2692400000.0	1127600000.0	2062300000.0
Q61081	Cdc37	91119000.0	259010000.0	896050000.0	328770000.0
Q8R0P4	Aamdc	429690000.0	240480000.0	301350000.0	206680000.0
Q62465	Vat1	1095900000.0	1667100000.0	1117000000.0	1709200000.0
Q8BU30	Iars	89848000.0	36259000.0	153100000.0	140360000.0
P62715	Ppp2cb	46437000.0	124070000.0	935250000.0	1737900000.0
Q9D1M0	Sec13	754670000.0	120650000.0	648630000.0	407530000.0
Q8R180	Ero1l	1068800000.0	339880000.0	828830000.0	756900000.0
Q9D8B3	Chmp4b	125940000.0	100060000.0	698070000.0	436120000.0
P62880;P29387	Gnb2;Gnb4	80168000.0	39346000.0	79006000.0	61022000.0
Q61792	Lasp1	197220000.0	226080000.0	786770000.0	424470000.0
Q8VEK3	Hnrnpu	389440000.0	480800000.0	700110000.0	608980000.0
P80315	Cct4	1488100000.0	738300000.0	1008900000.0	657060000.0
Q6NZB0	Dnajc8	230830000.0	420490000.0	416710000.0	1040300000.0
Q6PDY2	Ado	143160000.0	172550000.0	186180000.0	201200000.0
P34022	Ranbp1	856030000.0	933280000.0	882400000.0	731100000.0
Q9JKB3	Ybx3	63172000.0	75886000.0	1109200000.0	451280000.0
P07356	Anxa2	70067000.0	862760000.0	214950000.0	762480000.0
P62196	Psmc5	273890000.0	104220000.0	393780000.0	285190000.0
Q61990;P57722	Pcbp2;Pcbp3	418510000.0	173900000.0	601180000.0	289360000.0
Q8BJY1	Psmd5	1751800000.0	1460400000.0	1078500000.0	937240000.0
Q9Z2I9	Sucla2	280150000.0	10684000.0	548800000.0	30807000.0
P97470	Ppp4c	169630000.0		579980000.0	254040000.0
Q9EPC1	Parva	439020000.0	963010000.0	533720000.0	1044100000.0
P58044	Idi1	1823200000.0	3439200000.0	1558900000.0	2522800000.0
P62874	Gnb1	804690000.0	437420000.0	1460300000.0	1607800000.0
Q99LS3	Psph	769330000.0	716870000.0	1134100000.0	1221100000.0
Q9ERF3	Wdr61	118650000.0	21294000.0	392730000.0	93118000.0
O35841	Api5	628260000.0	272320000.0	477290000.0	623310000.0
Q9WVQ5	Apip	400610000.0	850550000.0	896640000.0	679150000.0
Q60605	Myl6	1381800000.0	3090100000.0	2776800000.0	1943300000.0
Q9CZX8	Rps19	24981000.0	361150000.0	224270000.0	296520000.0
Q99KC8	Vwa5a	342980000.0	307100000.0	461590000.0	420720000.0
Q9WUM4	Coro1c	434740000.0	1253800000.0	519920000.0	1136000000.0
O54983	Crym	123810000.0	28050000.0	602790000.0	302660000.0
Q99KV1	Dnajb11	373310000.0	474290000.0	584600000.0	282630000.0
