© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
4-1BB Signaling in T Lymphocytes	1.2E00	5.88E-02	NaN	MAP2K1,MAPK9	
Fatty Acid β-oxidation I	1.2E00	5.88E-02	NaN	ACSBG1,AUH	
IL-13 Signaling Pathway	1.2E00	3.23E-02	NaN	AKT1,CTNNB1,FAM120A,PDGFA	
Aldosterone Signaling in Epithelial Cells	1.19E00	2.81E-02	NaN	DNAJC1,DNAJC2,DNAJC3,DNAJC7,MAP2K1	
Opioid Signaling Pathway	1.19E00	2.39E-02	NaN	AKT1,AP2A1,ARRB1,CTNNB1,GNG5,MAP2K1,MAPK15	
Hepatic Fibrosis Signaling Pathway	1.18E00	2.16E-02	NaN	AKT1,CTNNB1,ITGAV,LRP6,MAP2K1,MAPK9,MMP13,PDGFA,TNFRSF1A	
SUMOylation of SUMOylation proteins	1.18E00	5.71E-02	NaN	NUP93,NUP98	
Activation of the pre-replicative complex	1.18E00	5.71E-02	NaN	MCM3,POLE3	
Caveolar-mediated Endocytosis Signaling	1.17E00	3.85E-02	NaN	HLA-A,ITGAV,RAB5A	
Thyroid Cancer Signaling	1.17E00	3.85E-02	NaN	AKT1,CTNNB1,MAP2K1	
Insulin Receptor Signaling	1.16E00	3.12E-02	NaN	AKT1,EIF2B2,MAP2K1,STX4	
Trehalose Degradation II (Trehalase)	1.15E00	1.67E-01	NaN	HK2	
Creatine-phosphate Biosynthesis	1.15E00	1.67E-01	NaN	CKM	
Glutamate Degradation III (via 4-aminobutyrate)	1.15E00	1.67E-01	NaN	SUCLG2	
IL-6 Signaling	1.15E00	3.1E-02	NaN	AKT1,MAP2K1,MAPK9,TNFRSF1A	
Role of BRCA1 in DNA Damage Response	1.14E00	3.75E-02	NaN	BRCC3,MDC1,SMARCC1	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	1.14E00	3.75E-02	NaN	MAP2K1,MAPK9,PLA2R1	
Warburg Effect Signaling Pathway	1.14E00	3.08E-02	NaN	AKT1,HK2,MLST8,TIGAR	
LPS/IL-1 Mediated Inhibition of RXR Function	1.14E00	2.33E-02	NaN	ACOX1,ACSBG1,Gstp1 (includes others),GSTT1,GSTZ1,MAPK9,TNFRSF1A	
HGF Signaling	1.13E00	3.05E-02	NaN	AKT1,ITGAV,MAP2K1,MAPK9	
Metabolism of steroid hormones	1.12E00	5.26E-02	NaN	CGA,FDX2	
Regulation of TP53 Expression and Degradation	1.12E00	5.26E-02	NaN	AKT1,MLST8	
Inhibition of Matrix Metalloproteases	1.12E00	5.26E-02	NaN	ADAM12,MMP13	
BEX2 Signaling Pathway	1.12E00	3.66E-02	NaN	AKT1,CTNNB1,MAPK9	
IL-27 Signaling Pathway	1.11E00	3.01E-02	NaN	AKT1,HLA-A,TNFRSF1A,ULK1	
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	1.11E00	2.66E-02	NaN	AKT1,CTNNB1,MAP2K1,MAPK9,RIGI	
SUMOylation of ubiquitinylation proteins	1.1E00	5.13E-02	NaN	NUP93,NUP98	
MAP kinase activation	1.1E00	5.13E-02	NaN	MAP2K1,MAPK9	
Transcriptional regulation by RUNX1	1.1E00	2.63E-02	NaN	CBFB,CTSK,H2AJ,SMARCC1,TJP1	
TYSND1 cleaves peroxisomal proteins	1.09E00	1.43E-01	NaN	ACOX1	
Regulation of CDH19 Expression and Function	1.09E00	1.43E-01	NaN	CTNNB1	
Phosphatidylethanolamine Biosynthesis II	1.09E00	1.43E-01	NaN	CHKB	
Phosphatidylcholine Biosynthesis I	1.09E00	1.43E-01	NaN	CHKB	
Wound Healing Signaling Pathway	1.09E00	2.41E-02	NaN	COL6A5,Il36a,MAP2K1,MAPK9,PDGFA,TNFRSF1A	
Transcriptional Regulation by VENTX	1.08E00	5E-02	NaN	CTNNB1,UBE2S	
Glucose metabolism	1.07E00	3.49E-02	NaN	HK2,NUP93,NUP98	
VEGF Family Ligand-Receptor Interactions	1.07E00	3.49E-02	NaN	AKT1,MAP2K1,NRP2	
Adipogenesis pathway	1.07E00	2.9E-02	NaN	AKT1,CTNNB1,SAP18,TNFRSF1A	
Leukocyte Extravasation Signaling	1.07E00	2.58E-02	NaN	CTNNB1,JAM3,MAPK9,MMP13,WASL	
Gene Silencing by RNA	1.06E00	2.88E-02	NaN	H2AJ,NUP93,NUP98,RAN	
14-3-3-mediated Signaling	1.06E00	2.88E-02	NaN	AKT1,MAP2K1,MAPK9,TNFRSF1A	
Reelin Signaling in Neurons	1.06E00	2.88E-02	NaN	AKT1,MAP2K1,MAPK9,WASL	
RHO GTPases Activate Formins	1.05E00	2.86E-02	NaN	DYNC1I2,KIF2B,NUP98,RANGAP1	
Synaptogenesis Signaling Pathway	1.05E00	2.21E-02	NaN	AKT1,AP2A1,CDH17,CTNNB1,EIF4EBP2,RAB5A,WASL	
ABRA Signaling Pathway	1.05E00	3.41E-02	NaN	CKM,MAPK9,PPP1R14A	
CDX Gastrointestinal Cancer Signaling Pathway	1.04E00	2.54E-02	NaN	AKT1,CDH17,CTNNB1,Il36a,MAP2K1	
RNA m6A Methylation Signaling Pathway	1.04E00	2.54E-02	NaN	AKT1,HK2,MLST8,VIRMA,YPEL5	
Mitotic Prophase	1.04E00	2.84E-02	NaN	ARPP19,H2AJ,NUP93,NUP98	
Respiratory electron transport	1.03E00	3.37E-02	NaN	NDUFA2,NDUFV3,UQCRC1	
Docosahexaenoic Acid (DHA) Signaling	1.03E00	2.32E-02	NaN	AKT1,MAP2K1,MLST8,PLA2R1,TNFRSF1A,ULK1	
Vasopressin regulates renal water homeostasis via Aquaporins	1.02E00	4.65E-02	NaN	AVP,GNG5	
Oncostatin M Signaling	1.02E00	4.65E-02	NaN	MAP2K1,MMP13	
DHCR24 Signaling Pathway	1.02E00	2.8E-02	NaN	AKT1,AMBP,PDGFA,VTN	
Regulation of mRNA stability by proteins that bind AU-rich elements	1.02E00	3.33E-02	NaN	AKT1,DIS3,EXOSC7	
RAB GEFs exchange GTP for GDP on RABs	1.02E00	3.33E-02	NaN	AKT1,RAB5A,ULK1	
BMP signaling pathway	1.02E00	3.33E-02	NaN	MAP2K1,MAPK9,SMURF1	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	1.02E00	2.78E-02	NaN	MAPK9,MLST8,MMP13,TNFRSF1A	
Ceramide Signaling	1.01E00	3.3E-02	NaN	AKT1,MAP2K1,TNFRSF1A	
Elastic fibre formation	1.01E00	4.55E-02	NaN	ITGAV,VTN	
RHO GTPases Activate WASPs and WAVEs	1.01E00	4.55E-02	NaN	NCKAP1,WASL	
TBC/RABGAPs	1.01E00	4.55E-02	NaN	RAB5A,ULK1	
BER (Base Excision Repair) Pathway	1.01E00	4.55E-02	NaN	HUWE1,MAP2K1	
Hedgehog 'on' state	1.01E00	2.76E-02	NaN	ARRB1,BOC,NME4,SMURF1	
Apelin Endothelial Signaling Pathway	1.01E00	2.76E-02	NaN	AKT1,GNG5,MAP2K1,MAPK9	
Unfolded protein response	1E00	3.26E-02	NaN	DNAJC1,DNAJC3,DNAJC7	
RANK Signaling in Osteoclasts	9.91E-01	3.23E-02	NaN	AKT1,MAP2K1,MAPK9	
ERBB Signaling	9.91E-01	3.23E-02	NaN	AKT1,MAP2K1,MAPK9	
Endocannabinoid Cancer Inhibition Pathway	9.91E-01	2.72E-02	NaN	AKT1,CTNNB1,MAP2K1,MLST8	
Mitotic Prometaphase	9.89E-01	2.44E-02	NaN	DYNC1I2,KIF2B,NUP98,RANGAP1,SMC3	
OAS antiviral response	9.86E-01	1.11E-01	NaN	RIGI	
Leucine Degradation I	9.86E-01	1.11E-01	NaN	AUH	
Heme Biosynthesis II	9.86E-01	1.11E-01	NaN	CPOX	
Beta-catenin independent WNT signaling	9.83E-01	2.43E-02	NaN	AP2A1,CTNNB1,GNG5,NME4,SMURF1	
Role of IL-17F in Allergic Inflammatory Airway Diseases	9.75E-01	4.35E-02	NaN	MAP2K1,MMP13	
DNA damage-induced 14-3-3σ Signaling	9.75E-01	4.35E-02	NaN	AKT1,RAD1	
IL-8 Signaling	9.7E-01	2.4E-02	NaN	AKT1,GNG5,ITGAV,MAP2K1,MAPK9	
Signaling by Rho Family GTPases	9.69E-01	2.23E-02	NaN	CDH17,GNG5,ITGAV,MAP2K1,MAPK9,WASL	
RNA Polymerase II Transcription	9.67E-01	2.67E-02	NaN	GTF2E1,GTF2F2,NCBP2,TCEA1	
UBE2C in Cell Cycle Progression Signaling Pathway	9.6E-01	3.12E-02	NaN	AKT1,MLST8,UBE2S	
Non-Small Cell Lung Cancer Signaling	9.6E-01	3.12E-02	NaN	AKT1,FHIT,MAP2K1	
PTEN Regulation	9.6E-01	2.65E-02	NaN	AKT1,CHD4,LAMTOR4,MLST8	
Glucocorticoid Receptor Signaling	9.58E-01	1.84E-02	NaN	AKT1,GTF2E1,GTF2F2,H2-Q8,HLA-A,MAP2K1,MAPK9,MMP13,NDUFA2,NDUFV3,SMARCC1	
WNT/SHH Axonal Guidance Signaling Pathway	9.52E-01	2.63E-02	NaN	BOC,CTNNB1,MAPK9,SEMA3A	
Type II Diabetes Mellitus Signaling	9.52E-01	2.63E-02	NaN	ACSBG1,AKT1,MAPK9,TNFRSF1A	
Transcriptional regulation by RUNX3	9.5E-01	3.09E-02	NaN	CBFB,CTNNB1,SMURF1	
TGF-β Signaling	9.5E-01	3.09E-02	NaN	MAP2K1,MAPK9,SMURF1	
VEGF Signaling	9.5E-01	3.09E-02	NaN	AKT1,EIF2B2,MAP2K1	
XBP1(S) activates chaperone genes	9.45E-01	4.17E-02	NaN	ADD1,DNAJC3	
SUMOylation of RNA binding proteins	9.45E-01	4.17E-02	NaN	NUP93,NUP98	
Caspase activation via Dependence Receptors in the absence of ligand	9.43E-01	1E-01	NaN	APPL1	
Creatine metabolism	9.43E-01	1E-01	NaN	CKM	
Ketone body metabolism	9.43E-01	1E-01	NaN	ACAT1	
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)	9.43E-01	1E-01	NaN	CBFB	
Embryonic Stem Cell Differentiation into Cardiac Lineages	9.43E-01	1E-01	NaN	SP4	
GDP-glucose Biosynthesis	9.43E-01	1E-01	NaN	HK2	
p53 Signaling	9.41E-01	3.06E-02	NaN	AKT1,CTNNB1,TIGAR	
DNA Methylation and Transcriptional Repression Signaling	9.41E-01	3.06E-02	NaN	CHD4,MECP2,SAP18	
Protein Kinase A Signaling	9.34E-01	1.98E-02	NaN	ADD1,AKAP13,CTNNB1,GNG5,MAP2K1,MYH10,PALM2AKAP2,PTPRS	
Co-stimulation by CD28	9.3E-01	4.08E-02	NaN	AKT1,MLST8	
Apelin Muscle Signaling Pathway	9.3E-01	4.08E-02	NaN	AKT1,GNG5	
PFKFB4 Signaling Pathway	9.3E-01	4.08E-02	NaN	HK2,MAP2K1	
Cardiac Hypertrophy Signaling (Enhanced)	9.17E-01	1.85E-02	NaN	AKAP13,AKT1,CTNNB1,EIF2B2,GNG5,Il36a,ITGAV,MAP2K1,MAPK9,TNFRSF1A	
Melanoma Signaling	9.15E-01	4E-02	NaN	AKT1,MAP2K1	
Salvage Pathways of Pyrimidine Ribonucleotides	9.12E-01	2.97E-02	NaN	MAP2K1,MAPK9,NME4	
Phenylalanine and tyrosine metabolism	9.04E-01	9.09E-02	NaN	GSTZ1	
Aspartate and asparagine metabolism	9.04E-01	9.09E-02	NaN	ASNS	
NFE2L2 regulating tumorigenic genes	9.04E-01	9.09E-02	NaN	PDGFA	
Co-stimulation by ICOS	9.04E-01	9.09E-02	NaN	ICOSLG	
Glucose and Glucose-1-phosphate Degradation	9.04E-01	9.09E-02	NaN	HK2	
NAD biosynthesis II (from tryptophan)	9.04E-01	9.09E-02	NaN	QPRT	
UVC-Induced MAPK Signaling	9.01E-01	3.92E-02	NaN	MAP2K1,MAPK9	
Mouse Embryonic Stem Cell Pluripotency	8.93E-01	2.91E-02	NaN	AKT1,CTNNB1,MAP2K1	
Oxidative Phosphorylation	8.84E-01	2.88E-02	NaN	NDUFA2,NDUFV3,UQCRC1	
Kinetochore Metaphase Signaling Pathway	8.84E-01	2.88E-02	NaN	ARPP19,KIF2B,SMC3	
Signaling by EGFR	8.74E-01	3.77E-02	NaN	ADAM12,EPS15	
Ketogenesis	8.69E-01	8.33E-02	NaN	ACAT1	
Ketolysis	8.69E-01	8.33E-02	NaN	ACAT1	
UDP-N-acetyl-D-galactosamine Biosynthesis II	8.69E-01	8.33E-02	NaN	HK2	
CDK5 Signaling	8.67E-01	2.83E-02	NaN	MAP2K1,MAPK15,MAPK9	
Estrogen Receptor Signaling	8.66E-01	1.9E-02	NaN	AKT1,DDX5,EIF2B2,GNG5,MAP2K1,MMP13,NDUFA2,NDUFV3	
Hepatic Cholestasis	8.66E-01	2.22E-02	NaN	AKT1,Il36a,MAP2K1,MAPK9,TNFRSF1A	
Glycation Signaling Pathway	8.66E-01	2.22E-02	NaN	AKT1,HK2,Il36a,MAPK15,MAPK9	
Eicosanoid Signaling	8.63E-01	2.08E-02	NaN	AKT1,ARRB1,CTNNB1,GNG5,MAP2K1,PLA2R1	
Signaling by TGF-beta Receptor Complex	8.61E-01	3.7E-02	NaN	ITGAV,SMURF1	
Apelin Cardiomyocyte Signaling Pathway	8.58E-01	2.8E-02	NaN	AKT1,MAPK15,MAPK9	
Factors involved in megakaryocyte development and platelet production	8.49E-01	2.78E-02	NaN	EHD2,RAB5A,RBSN	
Telomerase Signaling	8.49E-01	2.78E-02	NaN	AKT1,MAP2K1,TEP1	
PPAR Signaling	8.49E-01	2.78E-02	NaN	MAP2K1,PDGFA,TNFRSF1A	
Xenobiotic Metabolism AHR Signaling Pathway	8.49E-01	2.78E-02	NaN	Gstp1 (includes others),GSTT1,GSTZ1	
Amino acids regulate mTORC1	8.48E-01	3.64E-02	NaN	LAMTOR4,MLST8	
Sensory processing of sound by outer hair cells of the cochlea	8.48E-01	3.64E-02	NaN	CLIC5,TRIOBP	
CXCR4 Signaling	8.38E-01	2.38E-02	NaN	AKT1,GNG5,MAP2K1,MAPK9	
Cytosolic iron-sulfur cluster assembly	8.37E-01	7.69E-02	NaN	CIAPIN1	
Dissolution of Fibrin Clot	8.37E-01	7.69E-02	NaN	PLG	
Deadenylation-dependent mRNA decay	8.36E-01	3.57E-02	NaN	DIS3,EXOSC7	
CD27 Signaling in Lymphocytes	8.36E-01	3.57E-02	NaN	MAP2K1,MAPK9	
CNTF Signaling	8.36E-01	3.57E-02	NaN	AKT1,MAP2K1	
EGF Signaling	8.36E-01	3.57E-02	NaN	AKT1,MAP2K1	
Sirtuin Signaling Pathway	8.29E-01	2.03E-02	NaN	AKT1,MAP1LC3A,MAPK15,NDUFA2,NDUFV3,TP53BP1	
HER-2 Signaling in Breast Cancer	8.27E-01	2.16E-02	NaN	AKT1,MAP2K1,MLST8,NUP93,NUP98	
Phase II - Conjugation of compounds	8.24E-01	2.7E-02	NaN	GSTT1,GSTZ1,MAT2B	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	8.24E-01	3.51E-02	NaN	DCTN6,DYNC1I2	
Neurexins and neuroligins	8.24E-01	3.51E-02	NaN	DBNL,PDLIM5	
Xenobiotic Metabolism CAR Signaling Pathway	8.16E-01	2.14E-02	NaN	DNAJC7,Gstp1 (includes others),GSTT1,GSTZ1,MAP2K1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	8.12E-01	3.45E-02	NaN	MDC1,RAD1	
Cancer Drug Resistance by Drug Efflux	8.12E-01	3.45E-02	NaN	AKT1,MAP2K1	
PD-1, PD-L1 cancer immunotherapy pathway	8.08E-01	2.65E-02	NaN	AKT1,HLA-A,TNFRSF1A	
Regulation of TP53 Activity through Association with Co-factors	8.07E-01	7.14E-02	NaN	AKT1	
Formation of axial mesoderm	8.07E-01	7.14E-02	NaN	CTNNB1	
TCF dependent signaling in response to WNT	8.05E-01	2.12E-02	NaN	AKT1,CTNNB1,H2AJ,LRP6,SFRP2	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	7.92E-01	2.61E-02	NaN	MAP2K1,MAPK9,PLA2R1	
E3 ubiquitin ligases ubiquitinate target proteins	7.88E-01	3.33E-02	NaN	HLA-A,UBE2D2	
PCP (Planar Cell Polarity) Pathway	7.88E-01	3.33E-02	NaN	CTHRC1,MAPK9	
Prostate Cancer Signaling	7.84E-01	2.59E-02	NaN	AKT1,CTNNB1,MAP2K1	
mTOR Signaling	7.84E-01	2.08E-02	NaN	AKT1,EIF4EBP2,MLST8,RPS23,ULK1	
Regulation of cholesterol biosynthesis by SREBP (SREBF)	7.8E-01	6.67E-02	NaN	RAN	
Mitotic Telophase/Cytokinesis	7.8E-01	6.67E-02	NaN	SMC3	
Pentose phosphate pathway	7.8E-01	6.67E-02	NaN	RBKS	
Fatty Acid Activation	7.8E-01	6.67E-02	NaN	ACSBG1	
Mevalonate Pathway I	7.8E-01	6.67E-02	NaN	ACAT1	
Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation	7.77E-01	3.28E-02	NaN	RPS23,RWDD1	
Myocardin Signaling Pathway	7.77E-01	2.56E-02	NaN	AKT1,PDGFA,PRMT5	
Glioblastoma Multiforme Signaling	7.75E-01	2.25E-02	NaN	AKT1,CTNNB1,MAP2K1,PDGFA	
Neuregulin Signaling	7.69E-01	2.54E-02	NaN	AKT1,ITGAV,MAP2K1	
Kinesins	7.66E-01	3.23E-02	NaN	KIF18B,KIF2B	
Transcriptional and post-translational regulation of MITF-M expression and activity	7.66E-01	3.23E-02	NaN	CTNNB1,EPRS1	
Erythropoietin Signaling Pathway	7.63E-01	2.22E-02	NaN	AKT1,CTNNB1,Il36a,MAP2K1	
IL-2 Signaling	7.55E-01	3.17E-02	NaN	AKT1,MAP2K1	
Fc Epsilon RI Signaling	7.54E-01	2.5E-02	NaN	AKT1,MAP2K1,MAPK9	
Germ Cell Differentiation Signaling Pathway	7.54E-01	2.5E-02	NaN	CTNNB1,LRP6,PDGFA	
Processing of SMDT1	7.54E-01	6.25E-02	NaN	AFG3L2	
Glutaryl-CoA Degradation	7.54E-01	6.25E-02	NaN	ACAT1	
RHO GTPase cycle	7.51E-01	1.78E-02	NaN	AKAP13,FAM169A,GOLGA3,HINT2,NCKAP1,NISCH,STOM,WASL	
NGF Signaling	7.47E-01	2.48E-02	NaN	AKT1,MAP2K1,MAPK9	
Pathogen Induced Cytokine Storm Signaling Pathway	7.47E-01	1.83E-02	NaN	Ccl9,COL6A5,Il36a,MAPK15,MAPK9,RIGI,TNFRSF1A	
Cytosolic sensors of pathogen-associated DNA	7.45E-01	3.12E-02	NaN	CTNNB1,LRRFIP1	
ERB2-ERBB3 Signaling	7.45E-01	3.12E-02	NaN	AKT1,MAP2K1	
Mitochondrial protein import	7.35E-01	3.08E-02	NaN	CMC4,COA4	
Synthesis of DNA	7.33E-01	2.44E-02	NaN	MCM3,POLE3,UBE2S	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	7.33E-01	2.44E-02	NaN	AKT1,CTNNB1,MAP2K1	
Metabolism of Angiotensinogen to Angiotensins	7.3E-01	5.88E-02	NaN	MME	
Germ layer formation at gastrulation	7.3E-01	5.88E-02	NaN	CTNNB1	
Specification of the neural plate border	7.3E-01	5.88E-02	NaN	CTNNB1	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	7.26E-01	2.42E-02	NaN	DNAJC3,PLG,SCG3	
ZFX in Tumorigenesis Signaling Pathway	7.25E-01	3.03E-02	NaN	AKT1,MLST8	
Induction of Apoptosis by HIV1	7.25E-01	3.03E-02	NaN	MAPK9,TNFRSF1A	
Pancreatic Adenocarcinoma Signaling	7.19E-01	2.4E-02	NaN	AKT1,MAP2K1,MAPK9	
Abacavir ADME	7.15E-01	2.99E-02	NaN	MAPDA,NME4	
CD40 Signaling	7.15E-01	2.99E-02	NaN	MAP2K1,MAPK9	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	7.15E-01	2.99E-02	NaN	AKT1,MAP2K1	
ERBB4 Signaling	7.15E-01	2.99E-02	NaN	AKT1,MAP2K1	
Pyridoxal 5'-phosphate Salvage Pathway	7.15E-01	2.99E-02	NaN	MAP2K1,MAPK9	
SPINK1 General Cancer Pathway	7.15E-01	2.99E-02	NaN	AKT1,MAP2K1	
IL-17 Signaling	7.12E-01	2.12E-02	NaN	AKT1,Il36a,MAPK9,MMP13	
Formation of definitive endoderm	7.08E-01	5.56E-02	NaN	CTNNB1	
Formation of the nephric duct	7.08E-01	5.56E-02	NaN	CTNNB1	
Dermatan Sulfate Degradation (Metazoa)	7.08E-01	5.56E-02	NaN	IDUA	
Glycosaminoglycan metabolism	7.05E-01	2.36E-02	NaN	B3GNT7,GLB1L3,IDUA	
Gαs Signaling	7.05E-01	2.36E-02	NaN	ADD1,GNG5,MAP2K1	
Complex I biogenesis	7.05E-01	2.94E-02	NaN	NDUFA2,NDUFV3	
Glutamate Receptor Signaling	7.05E-01	2.94E-02	NaN	GNG5,GRIK4	
Glioma Signaling	6.98E-01	2.34E-02	NaN	AKT1,MAP2K1,PDGFA	
Sensory processing of sound by inner hair cells of the cochlea	6.95E-01	2.9E-02	NaN	CLIC5,TRIOBP	
ROBO SLIT Signaling Pathway	6.92E-01	2.33E-02	NaN	AKT1,CTNNB1,WASL	
NOD1/2 Signaling Pathway	6.91E-01	2.07E-02	NaN	Il36a,MAP2K1,MAPK9,RIGI	
Signaling by Activin	6.87E-01	5.26E-02	NaN	DRAP1	
Regulation of TP53 Activity through Methylation	6.87E-01	5.26E-02	NaN	PRMT5	
FOXO-mediated transcription	6.87E-01	5.26E-02	NaN	AKT1	
γ-linolenate Biosynthesis II (Animals)	6.87E-01	5.26E-02	NaN	ACSBG1	
Mitochondrial L-carnitine Shuttle Pathway	6.87E-01	5.26E-02	NaN	ACSBG1	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	6.87E-01	5.26E-02	NaN	ACAT1	
GM-CSF Signaling	6.86E-01	2.86E-02	NaN	AKT1,MAP2K1	
Regulation of the Epithelial-Mesenchymal Transition Pathway	6.85E-01	2.06E-02	NaN	AKT1,CTNNB1,MAP2K1,SMURF1	
LXR/RXR Activation	6.85E-01	2.31E-02	NaN	AMBP,TNFRSF1A,VTN	
Neuroinflammation Signaling Pathway	6.81E-01	1.82E-02	NaN	AKT1,CTNNB1,HLA-A,MAPK15,MAPK9,TNFRSF1A	
Remodeling of Epithelial Adherens Junctions	6.77E-01	2.82E-02	NaN	CTNNB1,RAB5A	
Xenobiotic Metabolism Signaling	6.69E-01	1.8E-02	NaN	DNAJC7,Gstp1 (includes others),GSTT1,GSTZ1,MAP2K1,MAPK9	
Translocation of SLC2A4 (GLUT4) to the plasma membrane	6.68E-01	2.78E-02	NaN	AKT1,STX4	
SUMOylation of transcription factors	6.67E-01	5E-02	NaN	TP53BP1	
Receptor-type tyrosine-protein phosphatases	6.67E-01	5E-02	NaN	PTPRS	
Valine Degradation I	6.67E-01	5E-02	NaN	AUH	
Apelin Liver Signaling Pathway	6.67E-01	5E-02	NaN	MAPK9	
PI3K/AKT Signaling	6.6E-01	2.01E-02	NaN	AKT1,CTNNB1,ITGAV,MAP2K1	
GABA Receptor Signaling	6.6E-01	2.24E-02	NaN	AP2A1,GNG5,UBQLN1	
SUMOylation of chromatin organization proteins	6.59E-01	2.74E-02	NaN	NUP93,NUP98	
Signaling by FGFR2	6.59E-01	2.74E-02	NaN	GTF2F2,NCBP2	
Regulation of RUNX2 expression and activity	6.59E-01	2.74E-02	NaN	CBFB,SMURF1	
Ephrin B Signaling	6.59E-01	2.74E-02	NaN	CTNNB1,GNG5	
Human Embryonic Stem Cell Pluripotency	6.55E-01	2E-02	NaN	AKT1,CTNNB1,MAP2K1,PDGFA	
Cardiac Hypertrophy Signaling	6.53E-01	1.87E-02	NaN	AKT1,EIF2B2,GNG5,MAP2K1,MAPK9	
Serotonin Receptor Signaling	6.51E-01	1.67E-02	NaN	ACAT1,AKT1,ARRB1,GNG5,MAP2K1,PLA2R1,TGM1,TGM3	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	6.5E-01	2.7E-02	NaN	CHD4,H2AJ	
Thioredoxin Signaling Pathway	6.5E-01	2.7E-02	NaN	AKT1,MAPK9	
Granzyme A Signaling	6.5E-01	2.7E-02	NaN	NDUFA2,NDUFV3	
Synaptic adhesion-like molecules	6.49E-01	4.76E-02	NaN	PTPRS	
Co-inhibition by CTLA4	6.49E-01	4.76E-02	NaN	AKT1	
Endoplasmic Reticulum Stress Pathway	6.49E-01	4.76E-02	NaN	DNAJC3	
Oxytocin in Brain Signaling Pathway	6.45E-01	1.98E-02	NaN	AKT1,GNG5,MAP2K1,PLA2R1	
Pulmonary Healing Signaling Pathway	6.45E-01	1.98E-02	NaN	CTNNB1,MAPK9,MMP13,TNFRSF1A	
Natural Killer Cell Signaling	6.45E-01	1.98E-02	NaN	AKT1,HLA-A,MAP2K1,WASL	
Extra-nuclear estrogen signaling	6.42E-01	2.67E-02	NaN	AKT1,GNG5	
Atherosclerosis Signaling	6.41E-01	2.19E-02	NaN	MMP13,PDGFA,PLA2R1	
Ferroptosis Signaling Pathway	6.41E-01	2.19E-02	NaN	ANGPTL4,DPP4,MAP2K1	
Chromatin modifying enzymes	6.4E-01	1.85E-02	NaN	CHD4,H2AJ,PRMT5,SAP18,SMARCC1	
SNARE Signaling Pathway	6.35E-01	2.17E-02	NaN	MYH10,MYH14,MYO10	
Plasma lipoprotein assembly, remodeling, and clearance	6.33E-01	2.63E-02	NaN	ANGPTL4,AP2A1	
GDNF Family Ligand-Receptor Interactions	6.33E-01	2.63E-02	NaN	MAP2K1,MAPK9	
Macropinocytosis Signaling	6.33E-01	2.63E-02	NaN	PDGFA,RAB5A	
Formation of paraxial mesoderm	6.31E-01	4.55E-02	NaN	CTNNB1	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	6.31E-01	4.55E-02	NaN	NME4	
TCA Cycle II (Eukaryotic)	6.31E-01	4.55E-02	NaN	SUCLG1	
Granulocyte Adhesion and Diapedesis	6.3E-01	1.95E-02	NaN	Ccl9,JAM3,MMP13,TNFRSF1A	
Phagosome Formation	6.3E-01	1.56E-02	NaN	AKT1,CELSR2,ITGAV,MAP2K1,MAPK15,MYH10,MYH14,MYO10,PLA2R1,VTN,WASL	
RAC Signaling	6.29E-01	2.16E-02	NaN	ITGAV,MAP2K1,NCKAP1	
Interferon alpha/beta signaling	6.25E-01	2.6E-02	NaN	HLA-A,ISG15	
Antiproliferative Role of Somatostatin Receptor 2	6.25E-01	2.6E-02	NaN	GNG5,MAP2K1	
Neutrophil Extracellular Trap Signaling Pathway	6.23E-01	1.68E-02	NaN	AKT1,COL6A5,MAP2K1,MAPK9,NDUFA2,NDUFV3,PLA2R1	
Regulation of endogenous retroelements	6.18E-01	2.13E-02	NaN	CHD4,H2AJ,SMARCC1	
P2Y Purinergic Receptor Signaling Pathway	6.18E-01	2.13E-02	NaN	AKT1,GNG5,MAP2K1	
Th2 Pathway	6.18E-01	2.13E-02	NaN	CHD4,HLA-A,ICOSLG	
Meiotic synapsis	6.17E-01	2.56E-02	NaN	H2AJ,SMC3	
NF-κB Activation by Viruses	6.17E-01	2.56E-02	NaN	AKT1,ITGAV	
Renal Cell Carcinoma Signaling	6.17E-01	2.56E-02	NaN	AKT1,MAP2K1	
Neurotrophin/TRK Signaling	6.17E-01	2.56E-02	NaN	AKT1,MAP2K1	
RAF-independent MAPK1/3 activation	6.14E-01	4.35E-02	NaN	MAP2K1	
Signaling by NODAL	6.14E-01	4.35E-02	NaN	DRAP1	
